Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
3360,SNAPPY CAR RENTAL,SNAPPY CAR RENTAL,Car Rental,Yes,"'3360':{'combined description':'SNAPPY CAR RENTAL', 'USDA description':'SNAPPY CAR RENTAL','IRS Description':'Car Rental', 'reportable':'Yes'},"
3361,AIRWAYS RENT-A-CAR,AIRWAYS RENT-A-CAR,Car Rental,Yes,"'3361':{'combined description':'AIRWAYS RENT-A-CAR', 'USDA description':'AIRWAYS RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3362,ALTRA AUTO RENTAL,ALTRA AUTO RENTAL,Car Rental,Yes,"'3362':{'combined description':'ALTRA AUTO RENTAL', 'USDA description':'ALTRA AUTO RENTAL','IRS Description':'Car Rental', 'reportable':'Yes'},"
3363,Car Rental,,Car Rental,Yes,"'3363':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3364,AGENCY RENT-A-CAR,AGENCY RENT-A-CAR,Car Rental,Yes,"'3364':{'combined description':'AGENCY RENT-A-CAR', 'USDA description':'AGENCY RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3365,Car Rental,,Car Rental,Yes,"'3365':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3366,BUDGET RENT-A-CAR,BUDGET RENT-A-CAR,Car Rental,Yes,"'3366':{'combined description':'BUDGET RENT-A-CAR', 'USDA description':'BUDGET RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3367,Car Rental,,Car Rental,Yes,"'3367':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3368,HOLIDAY RENT-A-WRECK,HOLIDAY RENT-A-WRECK,Car Rental,Yes,"'3368':{'combined description':'HOLIDAY RENT-A-WRECK', 'USDA description':'HOLIDAY RENT-A-WRECK','IRS Description':'Car Rental', 'reportable':'Yes'},"
3369,Car Rental,,Car Rental,Yes,"'3369':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3370,RENT-A-WRECK,RENT-A-WRECK,Car Rental,Yes,"'3370':{'combined description':'RENT-A-WRECK', 'USDA description':'RENT-A-WRECK','IRS Description':'Car Rental', 'reportable':'Yes'},"
3371,Car Rental,,Car Rental,Yes,"'3371':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3372,Car Rental,,Car Rental,Yes,"'3372':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3373,Car Rental,,Car Rental,Yes,"'3373':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3374,Car Rental,,Car Rental,Yes,"'3374':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3375,Car Rental,,Car Rental,Yes,"'3375':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3376,AJAX RENT-A-CAR,AJAX RENT-A-CAR,Car Rental,Yes,"'3376':{'combined description':'AJAX RENT-A-CAR', 'USDA description':'AJAX RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3377,Car Rental,,Car Rental,Yes,"'3377':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3378,Car Rental,,Car Rental,Yes,"'3378':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3379,Car Rental,,Car Rental,Yes,"'3379':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3380,Car Rental,,Car Rental,Yes,"'3380':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3381,EUROP CAR,EUROP CAR,Car Rental,Yes,"'3381':{'combined description':'EUROP CAR', 'USDA description':'EUROP CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3382,Car Rental,,Car Rental,Yes,"'3382':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3383,Car Rental,,Car Rental,Yes,"'3383':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3384,Car Rental,,Car Rental,Yes,"'3384':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3385,TROPICAL RENT-A-CAR,TROPICAL RENT-A-CAR,Car Rental,Yes,"'3385':{'combined description':'TROPICAL RENT-A-CAR', 'USDA description':'TROPICAL RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3386,SHOWCASE RENTAL CARS,SHOWCASE RENTAL CARS,Car Rental,Yes,"'3386':{'combined description':'SHOWCASE RENTAL CARS', 'USDA description':'SHOWCASE RENTAL CARS','IRS Description':'Car Rental', 'reportable':'Yes'},"
3387,ALAMO RENT-A-CAR,ALAMO RENT-A-CAR,Car Rental,Yes,"'3387':{'combined description':'ALAMO RENT-A-CAR', 'USDA description':'ALAMO RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3388,Car Rental,,Car Rental,Yes,"'3388':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3389,AVIS RENT-A-CAR,AVIS RENT-A-CAR,Car Rental,Yes,"'3389':{'combined description':'AVIS RENT-A-CAR', 'USDA description':'AVIS RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3390,DOLLAR RENT-A-CAR,DOLLAR RENT-A-CAR,Car Rental,Yes,"'3390':{'combined description':'DOLLAR RENT-A-CAR', 'USDA description':'DOLLAR RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3391,EUROPE BY CAR,EUROPE BY CAR,Car Rental,Yes,"'3391':{'combined description':'EUROPE BY CAR', 'USDA description':'EUROPE BY CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3392,Car Rental,,Car Rental,Yes,"'3392':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3393,NATIONAL CAR RENTAL,NATIONAL CAR RENTAL,Car Rental,Yes,"'3393':{'combined description':'NATIONAL CAR RENTAL', 'USDA description':'NATIONAL CAR RENTAL','IRS Description':'Car Rental', 'reportable':'Yes'},"
3394,KEMWELL GROUP RENT-A-CAR,KEMWELL GROUP RENT-A-CAR,Car Rental,Yes,"'3394':{'combined description':'KEMWELL GROUP RENT-A-CAR', 'USDA description':'KEMWELL GROUP RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3395,THRIFTY RENT-A-CAR,THRIFTY RENT-A-CAR,Car Rental,Yes,"'3395':{'combined description':'THRIFTY RENT-A-CAR', 'USDA description':'THRIFTY RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3396,TILDEN TENT-A-CAR,TILDEN TENT-A-CAR,Car Rental,Yes,"'3396':{'combined description':'TILDEN TENT-A-CAR', 'USDA description':'TILDEN TENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3397,Car Rental,,Car Rental,Yes,"'3397':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3398,ECONO-CAR RENT-A-CAR,ECONO-CAR RENT-A-CAR,Car Rental,Yes,"'3398':{'combined description':'ECONO-CAR RENT-A-CAR', 'USDA description':'ECONO-CAR RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3399,Car Rental,,Car Rental,Yes,"'3399':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3400,AUTO HOST COST CAR RENTALS,AUTO HOST COST CAR RENTALS,Car Rental,Yes,"'3400':{'combined description':'AUTO HOST COST CAR RENTALS', 'USDA description':'AUTO HOST COST CAR RENTALS','IRS Description':'Car Rental', 'reportable':'Yes'},"
3401,Car Rental,,Car Rental,Yes,"'3401':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3402,Car Rental,,Car Rental,Yes,"'3402':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3403,Car Rental,,Car Rental,Yes,"'3403':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3404,Car Rental,,Car Rental,Yes,"'3404':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3405,ENTERPRISE RENT-A-CAR,ENTERPRISE RENT-A-CAR,Car Rental,Yes,"'3405':{'combined description':'ENTERPRISE RENT-A-CAR', 'USDA description':'ENTERPRISE RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3406,Car Rental,,Car Rental,Yes,"'3406':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3407,Car Rental,,Car Rental,Yes,"'3407':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3408,Car Rental,,Car Rental,Yes,"'3408':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3409,GENERAL RENT-A-CAR,GENERAL RENT-A-CAR,Car Rental,Yes,"'3409':{'combined description':'GENERAL RENT-A-CAR', 'USDA description':'GENERAL RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3410,Car Rental,,Car Rental,Yes,"'3410':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3411,Car Rental,,Car Rental,Yes,"'3411':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3412,A-1 RENT-A-CAR,A-1 RENT-A-CAR,Car Rental,Yes,"'3412':{'combined description':'A-1 RENT-A-CAR', 'USDA description':'A-1 RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3413,Car Rental,,Car Rental,Yes,"'3413':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3414,GODFREY NATL RENT-A-CAR,GODFREY NATL RENT-A-CAR,Car Rental,Yes,"'3414':{'combined description':'GODFREY NATL RENT-A-CAR', 'USDA description':'GODFREY NATL RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3415,Car Rental,,Car Rental,Yes,"'3415':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3416,Car Rental,,Car Rental,Yes,"'3416':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3417,Car Rental,,Car Rental,Yes,"'3417':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3418,Car Rental,,Car Rental,Yes,"'3418':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3419,ALPHA RENT-A-CAR,ALPHA RENT-A-CAR,Car Rental,Yes,"'3419':{'combined description':'ALPHA RENT-A-CAR', 'USDA description':'ALPHA RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3420,ANSA INTL RENT-A-CAR,ANSA INTL RENT-A-CAR,Car Rental,Yes,"'3420':{'combined description':'ANSA INTL RENT-A-CAR', 'USDA description':'ANSA INTL RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3421,ALLSTAE RENT-A-CAR,ALLSTAE RENT-A-CAR,Car Rental,Yes,"'3421':{'combined description':'ALLSTAE RENT-A-CAR', 'USDA description':'ALLSTAE RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3422,Car Rental,,Car Rental,Yes,"'3422':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3423,AVCAR RENT-A-CAR,AVCAR RENT-A-CAR,Car Rental,Yes,"'3423':{'combined description':'AVCAR RENT-A-CAR', 'USDA description':'AVCAR RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3424,Car Rental,,Car Rental,Yes,"'3424':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3425,AUTOMATE RENT-A-CAR,AUTOMATE RENT-A-CAR,Car Rental,Yes,"'3425':{'combined description':'AUTOMATE RENT-A-CAR', 'USDA description':'AUTOMATE RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3426,Car Rental,,Car Rental,Yes,"'3426':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3427,AVON RENT-A-CAR,AVON RENT-A-CAR,Car Rental,Yes,"'3427':{'combined description':'AVON RENT-A-CAR', 'USDA description':'AVON RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3428,CAREY RENT-A-CAR,CAREY RENT-A-CAR,Car Rental,Yes,"'3428':{'combined description':'CAREY RENT-A-CAR', 'USDA description':'CAREY RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3429,INSURANCE RENT-A-CAR,INSURANCE RENT-A-CAR,Car Rental,Yes,"'3429':{'combined description':'INSURANCE RENT-A-CAR', 'USDA description':'INSURANCE RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3430,MAJOR RENT-A-CAR,MAJOR RENT-A-CAR,Car Rental,Yes,"'3430':{'combined description':'MAJOR RENT-A-CAR', 'USDA description':'MAJOR RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3431,REPLACEMENT RENT-A-CAR,REPLACEMENT RENT-A-CAR,Car Rental,Yes,"'3431':{'combined description':'REPLACEMENT RENT-A-CAR', 'USDA description':'REPLACEMENT RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3432,RESERVE RENT-A-CAR,RESERVE RENT-A-CAR,Car Rental,Yes,"'3432':{'combined description':'RESERVE RENT-A-CAR', 'USDA description':'RESERVE RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3433,UGLY DUCKLING RENT-A-CAR,UGLY DUCKLING RENT-A-CAR,Car Rental,Yes,"'3433':{'combined description':'UGLY DUCKLING RENT-A-CAR', 'USDA description':'UGLY DUCKLING RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3434,USA RENT-A-CAR,USA RENT-A-CAR,Car Rental,Yes,"'3434':{'combined description':'USA RENT-A-CAR', 'USDA description':'USA RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3435,VALUE RENT-A-CAR,VALUE RENT-A-CAR,Car Rental,Yes,"'3435':{'combined description':'VALUE RENT-A-CAR', 'USDA description':'VALUE RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3436,AUTOHANSA RENT-A-CAR,AUTOHANSA RENT-A-CAR,Car Rental,Yes,"'3436':{'combined description':'AUTOHANSA RENT-A-CAR', 'USDA description':'AUTOHANSA RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3437,CITE RENT-A-CAR,CITE RENT-A-CAR,Car Rental,Yes,"'3437':{'combined description':'CITE RENT-A-CAR', 'USDA description':'CITE RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3438,INTERENT RENT-A-CAR,INTERENT RENT-A-CAR,Car Rental,Yes,"'3438':{'combined description':'INTERENT RENT-A-CAR', 'USDA description':'INTERENT RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3439,MILLEVILLE RENT-A-CAR,MILLEVILLE RENT-A-CAR,Car Rental,Yes,"'3439':{'combined description':'MILLEVILLE RENT-A-CAR', 'USDA description':'MILLEVILLE RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3440,VIA ROUTE RENT-A-CAR,VIA ROUTE RENT-A-CAR,Car Rental,Yes,"'3440':{'combined description':'VIA ROUTE RENT-A-CAR', 'USDA description':'VIA ROUTE RENT-A-CAR','IRS Description':'Car Rental', 'reportable':'Yes'},"
3441,Car Rental,,Car Rental,Yes,"'3441':{'combined description':'Car Rental', 'USDA description':'','IRS Description':'Car Rental', 'reportable':'Yes'},"
3501,"HOLIDAY INNS, HOLIDAY INN EXPRESS",HOLIDAY INNS,Hotels/Motels/Inns/Resorts,Yes,"'3501':{'combined description':'HOLIDAY INNS, HOLIDAY INN EXPRESS', 'USDA description':'HOLIDAY INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3502,BEST WESTERN HOTELS,BEST WESTERN HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3502':{'combined description':'BEST WESTERN HOTELS', 'USDA description':'BEST WESTERN HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3503,SHERATON HOTELS,SHERATON HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3503':{'combined description':'SHERATON HOTELS', 'USDA description':'SHERATON HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3504,HILTON HOTELS,HILTON HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3504':{'combined description':'HILTON HOTELS', 'USDA description':'HILTON HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3505,FORTE HOTELS,FORTE HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3505':{'combined description':'FORTE HOTELS', 'USDA description':'FORTE HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3506,GOLDEN TULIP HOTELS,GOLDEN TULIP HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3506':{'combined description':'GOLDEN TULIP HOTELS', 'USDA description':'GOLDEN TULIP HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3507,FRIENDSHIP INNS,FRIENDSHIP INNS,Hotels/Motels/Inns/Resorts,Yes,"'3507':{'combined description':'FRIENDSHIP INNS', 'USDA description':'FRIENDSHIP INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3508,"QUALITY INNS, QUALITY SUITES",QUALITY INNS,Hotels/Motels/Inns/Resorts,Yes,"'3508':{'combined description':'QUALITY INNS, QUALITY SUITES', 'USDA description':'QUALITY INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3509,MARRIOTT HOTELS,MARRIOTT HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3509':{'combined description':'MARRIOTT HOTELS', 'USDA description':'MARRIOTT HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3510,"DAYS INN, DAYSTOP",DAYS INN,Hotels/Motels/Inns/Resorts,Yes,"'3510':{'combined description':'DAYS INN, DAYSTOP', 'USDA description':'DAYS INN','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3511,ARABELLA HOTELS,ARABELLA HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3511':{'combined description':'ARABELLA HOTELS', 'USDA description':'ARABELLA HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3512,INTER-CONTINENTAL HOTELS,INTER-CONTINENTAL HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3512':{'combined description':'INTER-CONTINENTAL HOTELS', 'USDA description':'INTER-CONTINENTAL HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3513,WESTIN HOTELS,WESTIN HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3513':{'combined description':'WESTIN HOTELS', 'USDA description':'WESTIN HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3514,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3514':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3515,RODEWAY INNS,RODEWAY INNS,Hotels/Motels/Inns/Resorts,Yes,"'3515':{'combined description':'RODEWAY INNS', 'USDA description':'RODEWAY INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3516,LA QUINTA MOTOR INNS,LA QUINTA MOTOR INNS,Hotels/Motels/Inns/Resorts,Yes,"'3516':{'combined description':'LA QUINTA MOTOR INNS', 'USDA description':'LA QUINTA MOTOR INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3517,AMERICANA HOTELS,AMERICANA HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3517':{'combined description':'AMERICANA HOTELS', 'USDA description':'AMERICANA HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3518,SOL HOTELS,SOL HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3518':{'combined description':'SOL HOTELS', 'USDA description':'SOL HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3519,PULLMAN INTERNATIONAL HOTELS,PULLMAN INTERNATIONAL HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3519':{'combined description':'PULLMAN INTERNATIONAL HOTELS', 'USDA description':'PULLMAN INTERNATIONAL HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3520,MERIDIEN HOTELS,MERIDIEN HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3520':{'combined description':'MERIDIEN HOTELS', 'USDA description':'MERIDIEN HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3521,CREST HOTELS (see FORTE HOTELS),CREST HOTELS (see FORTE HOTELS),Hotels/Motels/Inns/Resorts,Yes,"'3521':{'combined description':'CREST HOTELS (see FORTE HOTELS)', 'USDA description':'CREST HOTELS (see FORTE HOTELS)','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3522,TOKYO HOTEL,TOKYO HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3522':{'combined description':'TOKYO HOTEL', 'USDA description':'TOKYO HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3523,PENNSULA HOTEL,PENNSULA HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3523':{'combined description':'PENNSULA HOTEL', 'USDA description':'PENNSULA HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3524,WELCOMGROUP HOTELS,WELCOMGROUP HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3524':{'combined description':'WELCOMGROUP HOTELS', 'USDA description':'WELCOMGROUP HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3525,DUNFEY HOTELS,DUNFEY HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3525':{'combined description':'DUNFEY HOTELS', 'USDA description':'DUNFEY HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3526,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3526':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3527,DOWNTOWNER-PASSPORT HOTEL,DOWNTOWNER-PASSPORT HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3527':{'combined description':'DOWNTOWNER-PASSPORT HOTEL', 'USDA description':'DOWNTOWNER-PASSPORT HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3528,"RED LION HOTELS, RED LION INNS",RED LION HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3528':{'combined description':'RED LION HOTELS, RED LION INNS', 'USDA description':'RED LION HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3529,CP HOTELS,CP HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3529':{'combined description':'CP HOTELS', 'USDA description':'CP HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3530,"RENAISSANCE HOTELS, STOUFFER HOTELS",RENAISSANCE HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3530':{'combined description':'RENAISSANCE HOTELS, STOUFFER HOTELS', 'USDA description':'RENAISSANCE HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3531,ASTIR HOTELS,ASTIR HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3531':{'combined description':'ASTIR HOTELS', 'USDA description':'ASTIR HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3532,SUN ROUTE HOTELS,SUN ROUTE HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3532':{'combined description':'SUN ROUTE HOTELS', 'USDA description':'SUN ROUTE HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3533,HOTEL IBIS,HOTEL IBIS,Hotels/Motels/Inns/Resorts,Yes,"'3533':{'combined description':'HOTEL IBIS', 'USDA description':'HOTEL IBIS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3534,SOUTHERN PACIFIC HOTELS,SOUTHERN PACIFIC HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3534':{'combined description':'SOUTHERN PACIFIC HOTELS', 'USDA description':'SOUTHERN PACIFIC HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3535,HILTON INTERNATIONAL,HILTON INTERNATIONAL,Hotels/Motels/Inns/Resorts,Yes,"'3535':{'combined description':'HILTON INTERNATIONAL', 'USDA description':'HILTON INTERNATIONAL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3536,AMFAC HOTELS,AMFAC HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3536':{'combined description':'AMFAC HOTELS', 'USDA description':'AMFAC HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3537,ANA HOTEL,ANA HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3537':{'combined description':'ANA HOTEL', 'USDA description':'ANA HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3538,CONCORDE HOTELS,CONCORDE HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3538':{'combined description':'CONCORDE HOTELS', 'USDA description':'CONCORDE HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3539,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3539':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3540,IBEROTEL HOTELS,IBEROTEL HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3540':{'combined description':'IBEROTEL HOTELS', 'USDA description':'IBEROTEL HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3541,HOTEL OKURA,HOTEL OKURA,Hotels/Motels/Inns/Resorts,Yes,"'3541':{'combined description':'HOTEL OKURA', 'USDA description':'HOTEL OKURA','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3542,ROYAL HOTELS,ROYAL HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3542':{'combined description':'ROYAL HOTELS', 'USDA description':'ROYAL HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
