Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
3011,AEROFLOT,AEORFLOT,Airlines,Yes,"'3011':{'combined description':'AEROFLOT', 'USDA description':'AEORFLOT','IRS Description':'Airlines', 'reportable':'Yes'},"
3012,QANTAS AIR,QUANTAS,Airlines,Yes,"'3012':{'combined description':'QANTAS AIR', 'USDA description':'QUANTAS','IRS Description':'Airlines', 'reportable':'Yes'},"
3013,ALITALIA,ALITALIA,Airlines,Yes,"'3013':{'combined description':'ALITALIA', 'USDA description':'ALITALIA','IRS Description':'Airlines', 'reportable':'Yes'},"
3014,SAUDI ARABIAN AIRLINES,SAUDIA ARABIAN AIRLINES,Airlines,Yes,"'3014':{'combined description':'SAUDI ARABIAN AIRLINES', 'USDA description':'SAUDIA ARABIAN AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3015,SWISS INTERNATIONAL AIR LINES-SWISS AIR,SWISSAIR,Airlines,Yes,"'3015':{'combined description':'SWISS INTERNATIONAL AIR LINES-SWISS AIR', 'USDA description':'SWISSAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3016,SCANDINAVIAN AIRLINE SYSTEM (SAS),SAS,Airlines,Yes,"'3016':{'combined description':'SCANDINAVIAN AIRLINE SYSTEM (SAS)', 'USDA description':'SAS','IRS Description':'Airlines', 'reportable':'Yes'},"
3017,SOUTH AFRICAN AIRWAYS,SOUTH AFRICAN AIRWAYS,Airlines,Yes,"'3017':{'combined description':'SOUTH AFRICAN AIRWAYS', 'USDA description':'SOUTH AFRICAN AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3018,VARIG AIR (BRAZIL),VARIG (BRAZIL),Airlines,Yes,"'3018':{'combined description':'VARIG AIR (BRAZIL)', 'USDA description':'VARIG (BRAZIL)','IRS Description':'Airlines', 'reportable':'Yes'},"
3019,GERMANWINGS--GRMNWGAIR,,Airlines,Yes,"'3019':{'combined description':'GERMANWINGS--GRMNWGAIR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3020,AIR INDIA,AIR-INDIA,Airlines,Yes,"'3020':{'combined description':'AIR INDIA', 'USDA description':'AIR-INDIA','IRS Description':'Airlines', 'reportable':'Yes'},"
3021,AIR ALGERIE,AIR ALGERIE,Airlines,Yes,"'3021':{'combined description':'AIR ALGERIE', 'USDA description':'AIR ALGERIE','IRS Description':'Airlines', 'reportable':'Yes'},"
3022,PHILIPPINE AIRLINES,PHILIPPINE AIRLINES,Airlines,Yes,"'3022':{'combined description':'PHILIPPINE AIRLINES', 'USDA description':'PHILIPPINE AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3023,MEXICANA,MEXICANA,Airlines,Yes,"'3023':{'combined description':'MEXICANA', 'USDA description':'MEXICANA','IRS Description':'Airlines', 'reportable':'Yes'},"
3024,PAKISTAN INTERNATIONAL,PAKISTAN INTERNATIONAL,Airlines,Yes,"'3024':{'combined description':'PAKISTAN INTERNATIONAL', 'USDA description':'PAKISTAN INTERNATIONAL','IRS Description':'Airlines', 'reportable':'Yes'},"
3025,AIR NEW ZEALAND LTD. INTERNATIONAL,AIR NEW ZEALAND,Airlines,Yes,"'3025':{'combined description':'AIR NEW ZEALAND LTD. INTERNATIONAL', 'USDA description':'AIR NEW ZEALAND','IRS Description':'Airlines', 'reportable':'Yes'},"
3026,EMIRATES AIRLINES,,Airlines,Yes,"'3026':{'combined description':'EMIRATES AIRLINES', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3027,UNION DE TRANSPORTS AERIENS (UTA/INTERAI,UTA/INTERAIR,Airlines,Yes,"'3027':{'combined description':'UNION DE TRANSPORTS AERIENS (UTA/INTERAI', 'USDA description':'UTA/INTERAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3028,AIR MALTA,AIR MALTA,Airlines,Yes,"'3028':{'combined description':'AIR MALTA', 'USDA description':'AIR MALTA','IRS Description':'Airlines', 'reportable':'Yes'},"
3029,SN BRUSSELS AIRLINES - SNBRU AIR,SABENA,Airlines,Yes,"'3029':{'combined description':'SN BRUSSELS AIRLINES - SNBRU AIR', 'USDA description':'SABENA','IRS Description':'Airlines', 'reportable':'Yes'},"
3030,AEROLINEAS ARGENTINAS,AEROLINEAS ARGENTINAS,Airlines,Yes,"'3030':{'combined description':'AEROLINEAS ARGENTINAS', 'USDA description':'AEROLINEAS ARGENTINAS','IRS Description':'Airlines', 'reportable':'Yes'},"
3031,OLYMPIC AIRWAYS,OLYMPIC AIRWAYS,Airlines,Yes,"'3031':{'combined description':'OLYMPIC AIRWAYS', 'USDA description':'OLYMPIC AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3032,EL AL,EL AL,Airlines,Yes,"'3032':{'combined description':'EL AL', 'USDA description':'EL AL','IRS Description':'Airlines', 'reportable':'Yes'},"
3033,ANSETT AIRLINES,ANSETT AIRLINES,Airlines,Yes,"'3033':{'combined description':'ANSETT AIRLINES', 'USDA description':'ANSETT AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3034,TRANS AUSTRALIAN AIRWAYS (TAA),AUSTRAINLIAN AIRLINES,Airlines,Yes,"'3034':{'combined description':'TRANS AUSTRALIAN AIRWAYS (TAA)', 'USDA description':'AUSTRAINLIAN AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3035,TAP AIRLINE (PORTUGAL),TAP (PORTUGAL),Airlines,Yes,"'3035':{'combined description':'TAP AIRLINE (PORTUGAL)', 'USDA description':'TAP (PORTUGAL)','IRS Description':'Airlines', 'reportable':'Yes'},"
3036,VASP AIR (BRAZIL),VASP (BRAZIL),Airlines,Yes,"'3036':{'combined description':'VASP AIR (BRAZIL)', 'USDA description':'VASP (BRAZIL)','IRS Description':'Airlines', 'reportable':'Yes'},"
3037,EGYPTAIR,EGYPTAIR,Airlines,Yes,"'3037':{'combined description':'EGYPTAIR', 'USDA description':'EGYPTAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3038,KUWAIT AIRWAYS,KUWAIT AIRLINES,Airlines,Yes,"'3038':{'combined description':'KUWAIT AIRWAYS', 'USDA description':'KUWAIT AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3039,AVIANCA,AVIANCA,Airlines,Yes,"'3039':{'combined description':'AVIANCA', 'USDA description':'AVIANCA','IRS Description':'Airlines', 'reportable':'Yes'},"
3040,GULF AIR (BAHRAIN),GULF AIR (BAHRAIN),Airlines,Yes,"'3040':{'combined description':'GULF AIR (BAHRAIN)', 'USDA description':'GULF AIR (BAHRAIN)','IRS Description':'Airlines', 'reportable':'Yes'},"
3041,BALKAN-BULGARIAN AIRLINES,BALKAN-BULGARIAN AIRLINES,Airlines,Yes,"'3041':{'combined description':'BALKAN-BULGARIAN AIRLINES', 'USDA description':'BALKAN-BULGARIAN AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3042,FINNAIR,FINNAIR,Airlines,Yes,"'3042':{'combined description':'FINNAIR', 'USDA description':'FINNAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3043,AER LINGUS,AER LINGUS,Airlines,Yes,"'3043':{'combined description':'AER LINGUS', 'USDA description':'AER LINGUS','IRS Description':'Airlines', 'reportable':'Yes'},"
3044,AIR LANKA,AIR LANKA,Airlines,Yes,"'3044':{'combined description':'AIR LANKA', 'USDA description':'AIR LANKA','IRS Description':'Airlines', 'reportable':'Yes'},"
3045,NIGERIA AIRWAYS,NIGERIA AIRWAYS,Airlines,Yes,"'3045':{'combined description':'NIGERIA AIRWAYS', 'USDA description':'NIGERIA AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3046,CRUZEIRO DO SUL AIR (BRAZIL),CRUZEIRO DO SUL (BRAZIJ),Airlines,Yes,"'3046':{'combined description':'CRUZEIRO DO SUL AIR (BRAZIL)', 'USDA description':'CRUZEIRO DO SUL (BRAZIJ)','IRS Description':'Airlines', 'reportable':'Yes'},"
3047,THY AIRLINE (TURKEY),THY (TURKEY),Airlines,Yes,"'3047':{'combined description':'THY AIRLINE (TURKEY)', 'USDA description':'THY (TURKEY)','IRS Description':'Airlines', 'reportable':'Yes'},"
3048,AIRMARO,ROYAL AIR MAROC,Airlines,Yes,"'3048':{'combined description':'AIRMARO', 'USDA description':'ROYAL AIR MAROC','IRS Description':'Airlines', 'reportable':'Yes'},"
3049,TUNIS AIR,TUNIS AIR,Airlines,Yes,"'3049':{'combined description':'TUNIS AIR', 'USDA description':'TUNIS AIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3050,ICELANDAIR,ICELANDAIR,Airlines,Yes,"'3050':{'combined description':'ICELANDAIR', 'USDA description':'ICELANDAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3051,AUSTRIAN AIRLINES,AUSTRIAN AIRLINES,Airlines,Yes,"'3051':{'combined description':'AUSTRIAN AIRLINES', 'USDA description':'AUSTRIAN AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3052,LAN AIRLINES-LANAIR,LANCHILE,Airlines,Yes,"'3052':{'combined description':'LAN AIRLINES-LANAIR', 'USDA description':'LANCHILE','IRS Description':'Airlines', 'reportable':'Yes'},"
3053,AVIACO AIR (SPAIN),AVIACO (SPAIN),Airlines,Yes,"'3053':{'combined description':'AVIACO AIR (SPAIN)', 'USDA description':'AVIACO (SPAIN)','IRS Description':'Airlines', 'reportable':'Yes'},"
3054,LADECO AIR (CHILE),LADECO (CHILE),Airlines,Yes,"'3054':{'combined description':'LADECO AIR (CHILE)', 'USDA description':'LADECO (CHILE)','IRS Description':'Airlines', 'reportable':'Yes'},"
3055,LAB AIRLINE (BOLIVIA),LAB (BOLIVIA),Airlines,Yes,"'3055':{'combined description':'LAB AIRLINE (BOLIVIA)', 'USDA description':'LAB (BOLIVIA)','IRS Description':'Airlines', 'reportable':'Yes'},"
